Month,Location,Average Coral Growth (cm)
January,Wobbegong Bay,0.2
January,Crikey Cove,0.15
January,Didgeridoo Reef,0.18
February,Wobbegong Bay,0.25
February,Crikey Cove,0.2
February,Didgeridoo Reef,0.22
March,Wobbegong Bay,0.3
March,Crikey Cove,0.27
March,Didgeridoo Reef,0.28
April,Wobbegong Bay,0.1
April,Crikey Cove,-0.05
April,Didgeridoo Reef,0.15
May,Wobbegong Bay,0.4
May,Crikey Cove,0.37
May,Didgeridoo Reef,0.38
June,Wobbegong Bay,0.45
June,Crikey Cove,0.42
June,Didgeridoo Reef,0.44
July,Wobbegong Bay,0.5
July,Crikey Cove,0.47
July,Didgeridoo Reef,0.48
August,Wobbegong Bay,0.55
August,Crikey Cove,0.52
August,Didgeridoo Reef,0.54
September,Wobbegong Bay,0.6
September,Crikey Cove,0.57
September,Didgeridoo Reef,0.58
October,Wobbegong Bay,0.4
October,Crikey Cove,0.35
October,Didgeridoo Reef,0.38
November,Wobbegong Bay,0.7
November,Crikey Cove,0.67
November,Didgeridoo Reef,0.68
December,Wobbegong Bay,0.75
December,Crikey Cove,0.72
December,Didgeridoo Reef,0.74
